edge_id,from_node,to_node,from_name,to_name,distance_km,connector_distance_m,base_time_min,average_speed_kph,road_type,one_way_share,direction,congestion_level,risk_score,closed,backbone_edge,data_source
E001,DL01,DL05,Nhà lao thiếu nhi Đà Lạt,Bảo tàng Lâm Đồng,2.46,252.6,5.25,28.1,residential|secondary|trunk,0.0,directed,1,0,False,True,OpenStreetMap + modeled speeds + connector
E002,DL05,DL01,Bảo tàng Lâm Đồng,Nhà lao thiếu nhi Đà Lạt,2.46,252.6,5.25,28.1,residential|secondary|trunk,0.0,directed,1,0,False,True,OpenStreetMap + modeled speeds + connector
E003,DL01,DL06,Nhà lao thiếu nhi Đà Lạt,Thung Lũng Tình Yêu,6.253,244.9,10.08,37.2,residential|secondary,0.132,directed,1,0,False,True,OpenStreetMap + modeled speeds + connector
E004,DL06,DL01,Thung Lũng Tình Yêu,Nhà lao thiếu nhi Đà Lạt,6.258,244.9,10.08,37.2,residential|secondary,0.132,directed,1,0,False,True,OpenStreetMap + modeled speeds + connector
E005,DL01,DL14,Nhà lao thiếu nhi Đà Lạt,Vườn Hoa Cẩm Tú Cầu,7.619,330.0,16.52,27.7,primary|residential|secondary|trunk|unclassified,0.106,directed,1,0,False,True,OpenStreetMap + modeled speeds + connector
E006,DL14,DL01,Vườn Hoa Cẩm Tú Cầu,Nhà lao thiếu nhi Đà Lạt,7.561,330.0,16.38,27.7,primary|residential|secondary|trunk|unclassified,0.067,directed,1,0,False,True,OpenStreetMap + modeled speeds + connector
E007,DL02,DL05,Ga Đà Lạt,Bảo tàng Lâm Đồng,1.777,179.1,3.87,27.6,secondary|tertiary|trunk,0.444,directed,1,0,False,True,OpenStreetMap + modeled speeds + connector
E008,DL05,DL02,Bảo tàng Lâm Đồng,Ga Đà Lạt,1.72,179.1,3.73,27.7,secondary|tertiary|trunk,0.308,directed,1,0,False,True,OpenStreetMap + modeled speeds + connector
E009,DL02,DL22,Ga Đà Lạt,Hồ Xuân Hương,0.98,276.9,2.16,27.2,secondary,0.5,directed,1,0,False,True,OpenStreetMap + modeled speeds + connector
E010,DL22,DL02,Hồ Xuân Hương,Ga Đà Lạt,0.988,276.9,2.17,27.3,secondary,0.5,directed,1,0,False,True,OpenStreetMap + modeled speeds + connector
E011,DL02,DL23,Ga Đà Lạt,Quảng trường Lâm Viên,1.527,233.4,3.25,28.2,residential|secondary|tertiary,0.333,directed,1,0,False,False,OpenStreetMap + modeled speeds + connector
E012,DL23,DL02,Quảng trường Lâm Viên,Ga Đà Lạt,1.535,233.4,3.26,28.2,residential|secondary|tertiary,0.333,directed,1,0,False,False,OpenStreetMap + modeled speeds + connector
E013,DL03,DL04,Crazy House,Museum Madam De Dalat,2.331,149.2,4.75,29.4,primary|residential|secondary|tertiary,0.214,directed,1,0,False,False,OpenStreetMap + modeled speeds + connector
E014,DL04,DL03,Museum Madam De Dalat,Crazy House,2.366,149.2,4.79,29.6,primary|residential|secondary|tertiary,0.241,directed,1,0,False,False,OpenStreetMap + modeled speeds + connector
E015,DL03,DL13,Crazy House,Dinh III Bảo Đại,1.273,236.3,3.02,25.3,tertiary,0.0,directed,1,0,False,True,OpenStreetMap + modeled speeds + connector
E016,DL13,DL03,Dinh III Bảo Đại,Crazy House,1.273,236.3,3.02,25.3,tertiary,0.0,directed,1,0,False,True,OpenStreetMap + modeled speeds + connector
E017,DL03,DL15,Crazy House,Nhà thờ Cam Ly,3.002,231.6,6.87,26.2,primary|residential|secondary|tertiary,0.207,directed,1,0,False,False,OpenStreetMap + modeled speeds + connector
E018,DL15,DL03,Nhà thờ Cam Ly,Crazy House,3.036,231.6,6.9,26.4,primary|residential|secondary|tertiary,0.233,directed,1,0,False,False,OpenStreetMap + modeled speeds + connector
E019,DL03,DL21,Crazy House,Chợ Đà Lạt,1.585,170.9,3.45,27.6,primary|primary_link|residential|secondary|tertiary,0.391,directed,1,0,False,True,OpenStreetMap + modeled speeds + connector
E020,DL21,DL03,Chợ Đà Lạt,Crazy House,1.572,170.9,3.5,27.0,primary|residential|secondary|tertiary,0.455,directed,1,0,False,True,OpenStreetMap + modeled speeds + connector
E021,DL04,DL10,Museum Madam De Dalat,Vườn dâu Công nghệ cao Bình Yên,0.496,130.2,1.62,18.4,residential,0.0,directed,1,0,False,True,OpenStreetMap + modeled speeds + connector
E022,DL10,DL04,Vườn dâu Công nghệ cao Bình Yên,Museum Madam De Dalat,0.496,130.2,1.62,18.4,residential,0.0,directed,1,0,False,True,OpenStreetMap + modeled speeds + connector
E023,DL04,DL15,Museum Madam De Dalat,Nhà thờ Cam Ly,1.112,192.6,3.53,18.9,residential,0.0,directed,1,0,False,True,OpenStreetMap + modeled speeds + connector
E024,DL15,DL04,Nhà thờ Cam Ly,Museum Madam De Dalat,1.112,192.6,3.53,18.9,residential,0.0,directed,1,0,False,True,OpenStreetMap + modeled speeds + connector
E025,DL04,DL21,Museum Madam De Dalat,Chợ Đà Lạt,2.405,131.9,5.32,27.1,residential|secondary|tertiary,0.185,directed,1,0,False,True,OpenStreetMap + modeled speeds + connector
E026,DL21,DL04,Chợ Đà Lạt,Museum Madam De Dalat,2.402,131.9,5.37,26.8,residential|secondary|tertiary,0.185,directed,1,0,False,True,OpenStreetMap + modeled speeds + connector
