scenario_id,scenario_name,edge_id,congestion_level,time_multiplier,rain_risk,fog_risk,construction_penalty,closed,notes
S0,weekday_normal,E001,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E001,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E001,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E001,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E001,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E002,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E002,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E002,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E002,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E002,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E003,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E003,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E003,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E003,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E003,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E004,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E004,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E004,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E004,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E004,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E005,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E005,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E005,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E005,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E005,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E006,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E006,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E006,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E006,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E006,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E007,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E007,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E007,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E007,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E007,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E008,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E008,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E008,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E008,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E008,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E009,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E009,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E009,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E009,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E009,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E010,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E010,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E010,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E010,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E010,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E011,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E011,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E011,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E011,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E011,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E012,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E012,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E012,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E012,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E012,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E013,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E013,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E013,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E013,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E013,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E014,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E014,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E014,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E014,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E014,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E015,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E015,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E015,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E015,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E015,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E016,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E016,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E016,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E016,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E016,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E017,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E017,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E017,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E017,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E017,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E018,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E018,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E018,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E018,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E018,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E019,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E019,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E019,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E019,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E019,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E020,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E020,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E020,5,1.6,0,0,0,False,Template value—review manually
S3,heavy_rain,E020,3,1.3,4,0,0,False,Template value—review manually
S4,dense_fog,E020,2,1.2,0,4,0,False,Template value—review manually
S0,weekday_normal,E021,1,1.0,0,0,0,False,Template value—review manually
S1,weekend_busy,E021,4,1.35,0,0,0,False,Template value—review manually
S2,evening_rush,E021,5,1.6,0,0,0,False,Template value—review manually
