scenario_id,scenario_name,edge_id,congestion_level,time_multiplier,rain_risk,fog_risk,construction_penalty,closed
S0,weekday_normal,E001,1,1.0,0,0,0,False
S0,weekday_normal,E002,2,1.142,1,0,0,False
S0,weekday_normal,E003,1,1.077,1,0,0,False
S0,weekday_normal,E004,2,1.13,1,0,0,False
S0,weekday_normal,E005,1,1.027,1,0,0,False
S0,weekday_normal,E006,1,1.042,1,0,0,False
S0,weekday_normal,E007,2,1.151,0,0,2,False
S0,weekday_normal,E008,2,1.07,0,0,0,False
S0,weekday_normal,E009,1,1.035,0,0,0,False
S0,weekday_normal,E010,1,1.076,1,0,0,False
S0,weekday_normal,E011,1,1.026,1,0,0,False
S0,weekday_normal,E012,2,1.053,0,0,0,False
S0,weekday_normal,E013,2,1.093,0,0,0,False
S0,weekday_normal,E014,1,1.005,0,0,0,False
S0,weekday_normal,E015,2,1.116,1,0,0,False
S0,weekday_normal,E016,1,1.042,1,0,0,False
S0,weekday_normal,E017,2,1.107,0,0,0,False
S0,weekday_normal,E018,1,1.0,0,0,0,False
S0,weekday_normal,E019,2,1.097,0,0,0,False
S0,weekday_normal,E020,1,1.013,1,0,0,False
S0,weekday_normal,E021,3,1.203,1,0,1,False
S0,weekday_normal,E022,1,1.0,0,0,0,False
S0,weekday_normal,E023,1,1.048,1,0,0,False
S0,weekday_normal,E024,1,1.073,1,0,0,False
S0,weekday_normal,E025,2,1.086,0,0,0,False
S0,weekday_normal,E026,1,1.073,1,0,0,False
S0,weekday_normal,E027,1,1.011,1,0,0,False
S0,weekday_normal,E028,2,1.131,1,0,0,False
S0,weekday_normal,E029,1,1.015,0,0,0,False
S0,weekday_normal,E030,2,1.097,1,0,0,False
S0,weekday_normal,E031,1,1.003,1,0,0,False
S0,weekday_normal,E032,2,1.054,0,0,0,False
S0,weekday_normal,E033,1,1.028,1,0,0,False
S0,weekday_normal,E034,1,1.009,1,0,0,False
S0,weekday_normal,E035,2,1.08,0,0,0,False
S0,weekday_normal,E036,2,1.13,1,0,0,False
S0,weekday_normal,E037,1,1.032,0,0,0,False
S0,weekday_normal,E038,1,1.0,0,0,0,False
S0,weekday_normal,E039,2,1.044,0,0,0,False
S0,weekday_normal,E040,2,1.108,0,0,0,False
S0,weekday_normal,E041,1,1.018,0,0,0,False
S0,weekday_normal,E042,1,1.034,1,0,0,False
S0,weekday_normal,E043,1,1.035,1,0,0,False
S0,weekday_normal,E044,1,1.029,1,0,0,False
S0,weekday_normal,E045,2,1.08,1,0,0,False
S0,weekday_normal,E046,2,1.097,1,0,0,False
S0,weekday_normal,E047,1,1.006,1,0,0,False
S0,weekday_normal,E048,2,1.135,1,0,0,False
S0,weekday_normal,E049,1,1.033,0,0,0,False
S0,weekday_normal,E050,2,1.12,1,0,0,False
S0,weekday_normal,E051,2,1.083,1,0,0,False
S0,weekday_normal,E052,2,1.086,0,0,0,False
S0,weekday_normal,E053,1,1.017,1,0,0,False
S0,weekday_normal,E054,2,1.132,1,0,0,False
S0,weekday_normal,E055,1,1.035,0,0,0,False
S0,weekday_normal,E056,1,1.0,0,0,0,False
S0,weekday_normal,E057,1,1.012,0,0,0,False
S0,weekday_normal,E058,1,1.004,0,0,0,False
S0,weekday_normal,E059,1,1.025,1,0,0,False
S0,weekday_normal,E060,1,1.044,1,0,0,False
S1,weekend_busy,E001,3,1.289,1,0,0,False
S1,weekend_busy,E002,2,1.134,1,0,0,False
S1,weekend_busy,E003,3,1.282,1,0,0,False
S1,weekend_busy,E004,3,1.261,1,1,0,False
S1,weekend_busy,E005,3,1.194,0,0,0,False
S1,weekend_busy,E006,5,1.479,1,1,0,False
S1,weekend_busy,E007,4,1.353,0,1,0,False
S1,weekend_busy,E008,4,1.404,0,1,0,False
S1,weekend_busy,E009,3,1.237,0,0,0,False
S1,weekend_busy,E010,4,1.523,1,1,3,False
S1,weekend_busy,E011,2,1.145,1,0,0,False
S1,weekend_busy,E012,2,1.143,1,0,0,False
S1,weekend_busy,E013,3,1.286,0,1,0,False
S1,weekend_busy,E014,3,1.277,0,1,0,False
S1,weekend_busy,E015,3,1.254,1,0,0,False
S1,weekend_busy,E016,2,1.115,0,1,0,False
S1,weekend_busy,E017,4,1.326,0,1,0,False
S1,weekend_busy,E018,3,1.257,1,0,0,False
S1,weekend_busy,E019,4,1.336,0,0,0,False
S1,weekend_busy,E020,4,1.357,0,1,0,False
S1,weekend_busy,E021,3,1.286,1,0,0,False
S1,weekend_busy,E022,3,1.275,0,1,0,False
S1,weekend_busy,E023,3,1.315,1,1,0,False
S1,weekend_busy,E024,3,1.27,0,1,0,False
S1,weekend_busy,E025,3,1.287,1,1,0,False
S1,weekend_busy,E026,3,1.288,0,1,0,False
S1,weekend_busy,E027,3,1.262,1,0,0,False
S1,weekend_busy,E028,3,1.313,1,1,0,False
S1,weekend_busy,E029,4,1.358,0,1,0,False
S1,weekend_busy,E030,4,1.367,1,0,0,False
S1,weekend_busy,E031,3,1.233,1,0,0,False
S1,weekend_busy,E032,3,1.28,1,1,0,False
S1,weekend_busy,E033,1,1.017,1,0,0,False
S1,weekend_busy,E034,5,1.444,0,0,0,False
S1,weekend_busy,E035,2,1.134,0,1,0,False
S1,weekend_busy,E036,5,1.557,0,1,2,False
S1,weekend_busy,E037,4,1.315,0,0,0,False
S1,weekend_busy,E038,3,1.28,1,1,0,False
S1,weekend_busy,E039,4,1.353,1,0,0,False
